experiment_id,target_prune_proportion,iters,n_epochs,initialisation,train_dataset,eval_datasets,split_classes,noise,prune_proportion,accuracy,iteration,dataset,classes
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0,0.6892,0,MNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0,0.6031,0,FashionMNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0,0.1637,0,CIFAR10,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0,0.1003,0,MaxGroup,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.48114100098609924,0.7537,1,MNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.48114100098609924,0.5153,1,FashionMNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.48114100098609924,0.1442,1,CIFAR10,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.48114100098609924,0.102,1,MaxGroup,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.7566,2,MNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.2698,2,FashionMNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.115,2,CIFAR10,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.1038,2,MaxGroup,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.7151,3,MNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.1755,3,FashionMNIST,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.103,3,CIFAR10,None
SGD Normal LR,0.99,7,10,same,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.0956,3,MaxGroup,None
